"fl","year","stock","stock_aggregate","fw_age","ocean_age"
94,2021,"WENATCHEE_RIVER","Up Col.","1","3"
55,2021,"GREEN_RIVER","Puget Sound","0","2"
72,2021,"LYON'S_FERRY","Up Col.","0","3"
65,2021,"NOOKSACK_RIVER","Puget Sound","1","2"
56,2021,"SKAGIT_RIVER","Puget Sound","0","2"
71,2021,"SOOS_CREEK","Puget Sound","0","2"
55,2021,"SOOS_CREEK","Puget Sound","0","2"
65,2021,"SOOS_CREEK","Puget Sound","0","2"
79,2021,"WENATCHEE_RIVER","Up Col.","1","2"
82,2021,"WENATCHEE_RIVER","Up Col.","1","2"
81,2021,"ABERNATHY_RIVER","Low Col.","0","3"
65,2021,"GREEN_RIVER","Puget Sound","0","2"
69,2021,"ABERNATHY_RIVER","Low Col.","0","2"
57,2021,"SKYKOMISH_RIVER","Puget Sound","0","2"
66,2021,"ABERNATHY_RIVER","Low Col.","0","2"
70,2021,"ABERNATHY_RIVER","Low Col.","0","2"
64,2021,"GREEN_RIVER","Puget Sound","0","2"
53,2021,"SKYKOMISH_RIVER","Puget Sound","0","2"
66,2021,"SKAGIT_RIVER","Puget Sound","0","2"
58,2021,"NOOKSACK_RIVER","Puget Sound","0","2"
69,2021,"ABERNATHY_RIVER","Low Col.","0","2"
59,2021,"SOOS_CREEK","Puget Sound","0","2"
59,2021,"LYON'S_FERRY","Up Col.","0","2"
54,2021,"SOOS_CREEK","Puget Sound","0","2"
61,2021,"GREEN_RIVER","Puget Sound","0","2"
62,2021,"COWLITZ_HATCHERY_SPRING","Low Col.","0","2"
59,2021,"SOOS_CREEK","Puget Sound","0","2"
57,2021,"SOOS_CREEK","Puget Sound","0","2"
63,2021,"LYON'S_FERRY","Up Col.","0","2"
61,2021,"SKYKOMISH_RIVER","Puget Sound","0","2"
65,2021,"SOOS_CREEK","Puget Sound","0","2"
65,2021,"SOOS_CREEK","Puget Sound","0","2"
74,2021,"FEATHER_RIVER_FALL","Cali","0","2"
58,2021,"SOOS_CREEK","Puget Sound","0","2"
58,2021,"SKYKOMISH_RIVER","Puget Sound","0","2"
67,2021,"SOOS_CREEK","Puget Sound","0","2"
